input,emotion
naan romba happy da,happy
today semma santhosham,happy
enaku inniku birthday da,happy
na win panniten da,happy
project complete panniten,happy
enna surprise kuduthanga,happy
semma fun aachu da,happy
party super aachu,happy
friend appreciate pannanga,happy
teacher nalla mark kuduthanga,happy
naan romba sad da,sad
love failure aachu,sad
friend kita sanda aachu,sad
exam fail aayiten,sad
avanga pesala,sad
naan thappu panniten,sad
naan lonely feel panren,sad
school la bayam aayiduchu,sad
enakku edhume puriyala,sad
job miss aayiduchu,sad
exam romba stress aakudhu,stress
pressure romba jaasthi da,stress
work overload aachu,stress
edhuvum manage panna mudila,stress
daily tired ah feel panren,stress
padikave mudila da,stress
family la pressure kuduthanga,stress
time illama stress aagudhu,stress
sleep proper ah illa,stress
meeting after meeting da,stress
naan romba emotional aagiten,emotional
oru old song kekumbodhu kanneer varudhu,emotional
friend ah miss panren,emotional
old memories thonudhu,emotional
oru kadha kettadhum azhudhuten,emotional
naangal school la panra velai nyabagam varudhu,emotional
childhood friend patha udane azhudhuten,emotional
photo paatha udane feel aayiduchu,emotional
heart la pain maari irukku,emotional
na oru deep feeling la iruken,emotional
